anio,semana,fechaInicio,fechaFin
2027,43,2027-10-22,2027-10-28
2027,44,2027-10-29,2027-11-04
2027,45,2027-11-05,2027-11-11
2027,46,2027-11-12,2027-11-18
2027,47,2027-11-19,2027-11-25
2027,48,2027-11-26,2027-12-02
2027,49,2027-12-03,2027-12-09
2027,50,2027-12-10,2027-12-16
2027,51,2027-12-17,2027-12-23
2027,52,2027-12-24,2027-12-30
